Frequency (Hz)	Level (dB)
0.336456	-99.662987
0.672913	-99.810524
1.009369	-99.571968
1.345825	-99.253395
1.682281	-98.993118
2.018738	-98.375565
2.355194	-98.077309
2.691650	-98.109581
3.028107	-98.006142
3.364563	-98.045410
3.701019	-97.592598
4.037476	-97.111427
4.373932	-96.669250
4.710388	-96.223328
5.046844	-95.576927
5.383301	-95.387817
5.719757	-95.366577
6.056213	-94.756355
6.392670	-93.985512
6.729126	-93.455917
7.065582	-93.218300
7.402039	-93.082787
7.738495	-92.400986
8.074951	-91.525841
8.411407	-90.608513
8.747864	-90.731720
9.084320	-91.168137
9.420776	-91.098778
9.757233	-90.808594
10.093689	-90.419823
10.430145	-91.082809
10.766602	-92.279076
11.103058	-93.456779
11.439514	-94.056610
11.775970	-94.075684
12.112427	-93.872147
12.448883	-93.846359
12.785339	-94.631622
13.121796	-94.760452
13.458252	-94.848747
13.794708	-95.366417
14.131165	-95.437981
14.467621	-95.444687
14.804077	-95.453590
15.140533	-95.888832
15.476990	-96.324974
15.813446	-96.309502
16.149902	-95.935646
16.486359	-95.777748
16.822815	-95.937233
17.159271	-96.527527
17.495728	-96.773438
17.832184	-96.559769
18.168640	-96.948105
18.505096	-97.139656
18.841553	-96.770393
19.178009	-96.316811
19.514465	-96.192902
19.850922	-96.045044
20.187378	-95.762390
20.523834	-95.659431
20.860291	-95.628487
21.196747	-95.325623
21.533203	-94.871910
21.869659	-94.510719
22.206116	-94.641884
22.542572	-94.356064
22.879028	-93.625908
23.215485	-93.575874
23.551941	-94.103165
23.888397	-93.884605
24.224854	-93.732025
24.561310	-93.303749
24.897766	-93.144104
25.234222	-92.809593
25.570679	-92.577980
25.907135	-92.441719
26.243591	-92.590187
26.580048	-92.400162
26.916504	-92.490562
27.252960	-92.282661
27.589417	-91.691490
27.925873	-91.758331
28.262329	-92.122177
28.598785	-92.209435
28.935242	-91.812660
29.271698	-91.956833
29.608154	-91.913948
29.944611	-91.222946
30.281067	-91.223000
30.617523	-91.545517
30.953979	-91.818810
31.290436	-92.165405
31.626892	-92.644524
31.963348	-92.560791
32.299805	-92.540970
32.636261	-92.589951
32.972717	-92.752594
33.309174	-93.161652
33.645630	-93.586128
33.982086	-93.778824
34.318542	-93.755440
34.654999	-93.428650
34.991455	-93.727806
35.327911	-94.018280
35.664368	-94.499367
36.000824	-94.803703
36.337280	-94.539574
36.673737	-94.467804
37.010193	-94.578613
37.346649	-94.670258
37.683105	-94.618034
38.019562	-94.521362
38.356018	-94.616104
38.692474	-94.586456
39.028931	-94.532379
39.365387	-94.435936
39.701843	-94.204086
40.038300	-93.439217
40.374756	-92.330841
40.711212	-92.326111
41.047668	-92.412636
41.384125	-92.202614
41.720581	-92.221054
42.057037	-91.434105
42.393494	-90.831497
42.729950	-90.024986
43.066406	-88.721596
43.402863	-87.785828
43.739319	-87.831291
44.075775	-88.223305
44.412231	-87.748398
44.748688	-87.283287
45.085144	-86.700165
45.421600	-85.966599
45.758057	-85.008018
46.094513	-84.563644
46.430969	-84.055420
46.767426	-82.902267
47.103882	-83.205910
47.440338	-83.731361
47.776794	-83.542358
48.113251	-82.750755
48.449707	-82.712227
48.786163	-83.796059
49.122620	-84.826302
49.459076	-85.231163
49.795532	-85.583748
50.131989	-85.307381
50.468445	-84.803619
50.804901	-84.892349
51.141357	-85.803795
51.477814	-85.742271
51.814270	-85.583565
52.150726	-86.123344
52.487183	-86.251045
52.823639	-86.315636
53.160095	-86.684082
53.496552	-86.559547
53.833008	-86.271866
54.169464	-86.187256
54.505920	-85.947899
54.842377	-85.670547
55.178833	-85.657326
55.515289	-86.083893
55.851746	-85.884956
56.188202	-85.473099
56.524658	-85.569672
56.861115	-85.877800
57.197571	-85.878922
57.534027	-85.675301
57.870483	-85.246864
58.206940	-85.147102
58.543396	-84.548157
58.879852	-84.669388
59.216309	-84.572884
59.552765	-83.939079
59.889221	-83.668503
60.225677	-83.464790
60.562134	-83.535355
60.898590	-83.845985
61.235046	-83.798775
61.571503	-83.065506
61.907959	-82.641266
62.244415	-82.811890
62.580872	-82.698441
62.917328	-82.604431
63.253784	-82.454849
63.590240	-82.074310
63.926697	-81.728729
64.263153	-81.382538
64.599609	-81.384033
64.936066	-81.359306
65.272522	-81.014381
65.608978	-80.887627
65.945435	-80.845039
66.281891	-80.106621
66.618347	-79.468536
66.954803	-79.993980
67.291260	-80.543007
67.627716	-80.339096
67.964172	-79.711090
68.300629	-79.472862
68.637085	-79.793655
68.973541	-79.964882
69.309998	-80.306633
69.646454	-80.194664
69.982910	-80.079155
70.319366	-79.417999
70.655823	-79.359032
70.992279	-79.577950
71.328735	-79.218399
71.665192	-79.713005
72.001648	-80.057884
72.338104	-79.576347
72.674561	-78.607971
73.011017	-78.280449
73.347473	-78.138313
73.683929	-78.230110
74.020386	-77.986107
74.356842	-77.908043
74.693298	-77.784294
75.029755	-77.509972
75.366211	-76.876755
75.702667	-77.014069
76.039124	-77.152077
76.375580	-76.573395
76.712036	-76.411194
77.048492	-76.259438
77.384949	-76.579750
77.721405	-75.791290
78.057861	-75.136093
78.394318	-75.039185
78.730774	-74.591339
79.067230	-74.815010
79.403687	-74.277786
79.740143	-74.257240
80.076599	-73.783455
80.413055	-73.842987
80.749512	-74.253654
81.085968	-73.996407
81.422424	-73.397415
81.758881	-73.129723
82.095337	-73.144188
82.431793	-72.435257
82.768250	-71.726555
83.104706	-72.116234
83.441162	-72.007118
83.777618	-72.115997
84.114075	-71.644615
84.450531	-71.074059
84.786987	-70.633240
85.123444	-70.838150
85.459900	-70.794830
85.796356	-70.224541
86.132812	-69.780746
86.469269	-69.225685
86.805725	-69.521637
87.142181	-69.847290
87.478638	-69.674561
87.815094	-69.546700
88.151550	-69.586395
88.488007	-69.371727
88.824463	-68.850517
89.160919	-68.344658
89.497375	-68.271881
89.833832	-67.752235
90.170288	-67.116409
90.506744	-67.326530
90.843201	-67.340073
91.179657	-67.423424
91.516113	-66.612686
91.852570	-66.177040
92.189026	-65.877777
92.525482	-65.875458
92.861938	-65.509590
93.198395	-64.638451
93.534851	-63.960632
93.871307	-63.844616
94.207764	-63.516434
94.544220	-63.217125
94.880676	-63.073997
95.217133	-63.337765
95.553589	-62.990253
95.890045	-62.172249
96.226501	-61.318081
96.562958	-61.407719
96.899414	-61.667980
97.235870	-61.235130
97.572327	-60.971245
97.908783	-61.215694
98.245239	-61.507961
98.581696	-61.085754
98.918152	-61.141495
99.254608	-61.388550
99.591064	-61.150658
99.927521	-60.491989
100.263977	-61.000938
100.600433	-61.218781
100.936890	-61.110065
101.273346	-60.440201
101.609802	-60.499054
101.946259	-60.557991
102.282715	-59.188713
