Frequency (Hz)	Level (dB)
0.672913	-74.686920
1.345825	-69.112465
2.018738	-64.582710
2.691650	-61.645275
3.364563	-59.734833
4.037476	-58.553078
4.710388	-57.716118
5.383301	-57.279247
6.056213	-57.041061
6.729126	-57.020100
7.402039	-57.046200
8.074951	-57.165867
8.747864	-57.278454
9.420776	-57.365326
10.093689	-57.671169
10.766602	-57.807652
11.439514	-58.055721
12.112427	-58.208763
12.785339	-58.406670
13.458252	-58.653477
14.131165	-58.902794
14.804077	-59.201546
15.476990	-59.406826
16.149902	-59.374710
16.822815	-59.379307
17.495728	-59.006138
18.168640	-57.477463
18.841553	-55.464603
19.514465	-56.097984
20.187378	-58.844517
20.860291	-60.270294
21.533203	-60.487968
22.206116	-60.485096
22.879028	-60.563160
23.551941	-60.561508
24.224854	-60.785843
24.897766	-60.251751
25.570679	-61.137455
26.243591	-60.770439
26.916504	-60.388023
27.589417	-59.431835
28.262329	-58.149384
28.935242	-57.366951
29.608154	-56.349644
30.281067	-56.716900
30.953979	-57.795185
31.626892	-58.045155
32.299805	-57.155762
32.972717	-57.147137
33.645630	-57.826290
34.318542	-58.540314
34.991455	-59.102352
35.664368	-59.668777
36.337280	-59.745155
37.010193	-59.555367
37.683105	-60.573742
38.356018	-61.441727
39.028931	-61.542427
39.701843	-61.106144
40.374756	-60.949268
41.047668	-60.940079
41.720581	-60.981190
42.393494	-60.788929
43.066406	-59.971519
43.739319	-59.837296
44.412231	-59.927361
45.085144	-59.503765
45.758057	-58.667389
46.430969	-58.074711
47.103882	-57.158829
47.776794	-53.620522
48.449707	-51.889336
49.122620	-52.159279
49.795532	-53.501968
50.468445	-56.945541
51.141357	-58.109653
51.814270	-57.422539
52.487183	-56.925186
53.160095	-56.726101
53.833008	-56.897827
54.505920	-57.418484
55.178833	-57.856972
55.851746	-57.886551
56.524658	-57.597908
57.197571	-57.655857
57.870483	-58.149372
58.543396	-58.757042
59.216309	-59.470875
59.889221	-59.169884
60.562134	-58.646664
61.235046	-58.882214
61.907959	-56.326847
62.580872	-55.334541
63.253784	-59.378475
63.926697	-60.225971
64.599609	-60.527027
65.272522	-60.075928
65.945435	-59.321156
66.618347	-58.926273
67.291260	-59.070992
67.964172	-58.830284
68.637085	-58.516010
69.309998	-58.205448
69.982910	-57.803253
70.655823	-58.215904
71.328735	-58.095539
72.001648	-57.496078
