Frequency (Hz)	Level (dB)
0.672913	-65.282234
1.345825	-67.054741
2.018738	-68.048355
2.691650	-67.712440
3.364563	-68.015694
4.037476	-68.771072
4.710388	-69.071960
5.383301	-69.785339
6.056213	-69.792053
6.729126	-69.692711
7.402039	-69.323395
8.074951	-69.759880
8.747864	-70.596230
9.420776	-70.834457
10.093689	-70.678009
10.766602	-70.862114
11.439514	-70.631958
12.112427	-70.165764
12.785339	-70.497986
13.458252	-69.874352
14.131165	-69.608360
14.804077	-69.129539
15.476990	-68.649605
16.149902	-67.612648
16.822815	-66.518677
17.495728	-65.961884
18.168640	-65.498795
18.841553	-65.234238
19.514465	-64.838821
20.187378	-64.513313
20.860291	-64.631546
21.533203	-64.357262
22.206116	-63.802814
22.879028	-63.083424
23.551941	-62.887707
24.224854	-63.106239
24.897766	-63.129669
25.570679	-63.006607
26.243591	-62.592125
26.916504	-62.426880
27.589417	-61.878399
28.262329	-61.930996
28.935242	-62.110775
29.608154	-61.646534
30.281067	-60.285160
30.953979	-60.174545
31.626892	-59.914982
32.299805	-59.828663
32.972717	-60.141327
33.645630	-60.155716
34.318542	-59.555901
34.991455	-59.806637
35.664368	-59.884842
36.337280	-59.259922
37.010193	-58.983826
37.683105	-58.746994
38.356018	-58.613327
39.028931	-58.278030
39.701843	-57.785748
40.374756	-57.694164
41.047668	-57.887001
41.720581	-57.834904
42.393494	-57.628685
43.066406	-56.787632
43.739319	-56.175438
44.412231	-56.734051
45.085144	-56.871475
45.758057	-57.234211
46.430969	-56.776924
47.103882	-56.074802
47.776794	-56.647339
48.449707	-56.415100
49.122620	-48.966797
49.795532	-44.541817
50.468445	-50.069248
51.141357	-56.707722
51.814270	-56.513016
52.487183	-56.927105
53.160095	-57.033939
53.833008	-57.411411
54.505920	-57.212185
55.178833	-56.636459
55.851746	-57.512234
56.524658	-58.079071
57.197571	-57.942623
57.870483	-57.444740
58.543396	-57.724915
59.216309	-58.017975
59.889221	-57.816196
60.562134	-58.025719
61.235046	-58.166340
61.907959	-58.100571
62.580872	-58.109180
63.253784	-58.044449
63.926697	-58.190208
64.599609	-57.687031
65.272522	-57.884781
65.945435	-58.227215
66.618347	-58.314377
67.291260	-58.464329
67.964172	-58.668007
68.637085	-58.535728
69.309998	-58.589104
69.982910	-58.560005
70.655823	-58.351517
71.328735	-58.485901
72.001648	-58.174450
72.674561	-58.087337
73.347473	-57.931442
74.020386	-56.937679
74.693298	-56.611092
75.366211	-57.687462
76.039124	-57.967678
