Frequency (Hz)	Level (dB)
195.144653	-44.701302
195.817566	-45.169746
196.490479	-44.676311
197.163391	-45.035454
197.836304	-44.884407
198.509216	-44.073437
199.182129	-44.145477
199.855042	-44.158173
200.527954	-43.063915
201.200867	-42.566044
201.873779	-42.722012
202.546692	-41.844517
203.219604	-40.626682
203.892517	-41.373856
204.565430	-39.611797
205.238342	-38.034946
205.911255	-36.255768
206.584167	-32.108009
207.257080	-29.930290
207.929993	-31.356102
208.602905	-33.442959
209.275818	-34.342529
209.948730	-36.412914
210.621643	-36.763508
211.294556	-38.006935
211.967468	-39.421062
212.640381	-41.048256
213.313293	-42.059933
213.986206	-43.017948
214.659119	-42.894054
215.332031	-41.761745
216.004944	-41.455559
216.677856	-42.124516
217.350769	-41.827419
218.023682	-41.347580
218.696594	-40.632786
219.369507	-39.868736
220.042419	-39.511593
220.715332	-40.149937
221.388245	-40.196114
222.061157	-39.763374
222.734070	-39.118465
223.406982	-38.289780
224.079895	-38.719662
224.752808	-38.479832
225.425720	-38.464863
226.098633	-37.020031
226.771545	-35.895226
227.444458	-35.817883
228.117371	-35.580547
228.790283	-35.698082
229.463196	-35.671337
230.136108	-35.879597
230.809021	-36.492287
231.481934	-37.281483
232.154846	-36.171856
232.827759	-36.518181
233.500671	-37.363731
234.173584	-37.686066
234.846497	-38.295086
235.519409	-38.402546
236.192322	-38.570145
236.865234	-38.778389
237.538147	-38.874249
238.211060	-37.412498
238.883972	-36.782814
239.556885	-37.420437
240.229797	-36.991741
240.902710	-36.881096
241.575623	-37.042084
242.248535	-37.188866
242.921448	-38.027538
243.594360	-38.488964
244.267273	-38.378345
244.940186	-38.890781
245.613098	-39.615231
246.286011	-40.172585
246.958923	-40.677608
247.631836	-40.838509
248.304749	-41.088436
248.977661	-41.768311
249.650574	-41.659237
250.323486	-41.970818
250.996399	-42.106091
251.669312	-42.691914
252.342224	-42.995518
253.015137	-42.400124
253.688049	-42.620468
254.360962	-43.087730
255.033875	-42.825504
255.706787	-42.550282
256.379700	-42.524105
257.052612	-42.165062
257.725525	-41.965683
258.398438	-41.994926
259.071350	-42.268215
259.744263	-42.500004
260.417175	-42.120392
261.090088	-42.023720
261.763000	-42.558689
262.435913	-42.968433
263.108826	-42.825954
263.781738	-42.178215
264.454651	-42.139732
265.127563	-41.984634
265.800476	-41.796562
266.473389	-41.649303
267.146301	-40.586010
267.819214	-39.989849
268.492126	-39.138126
269.165039	-37.957527
269.837952	-37.377182
270.510864	-36.381828
271.183777	-35.012184
271.856689	-34.322811
272.529602	-32.142483
273.202515	-30.198454
273.875427	-28.941185
274.548340	-27.071577
275.221252	-25.527405
275.894165	-25.192663
276.567078	-26.038837
277.239990	-28.601917
277.912903	-30.685297
278.585815	-32.085808
279.258728	-34.412922
279.931641	-37.018471
280.604553	-38.805405
281.277466	-39.751694
281.950378	-40.349655
282.623291	-41.325451
283.296204	-41.885681
283.969116	-42.448936
284.642029	-42.672569
285.314941	-43.250439
285.987854	-44.486309
286.660767	-44.241951
287.333679	-44.118954
288.006592	-44.726021
288.679504	-44.338570
289.352417	-44.099503
290.025330	-44.243519
290.698242	-44.534687
291.371155	-44.436272
292.044067	-44.150043
292.716980	-44.108650
293.389893	-43.393856
294.062805	-43.549282
294.735718	-43.631126
295.408630	-43.498425
296.081543	-43.716320
296.754456	-43.530285
297.427368	-43.285355
298.100281	-42.445011
298.773193	-42.856621
299.446106	-42.866875
300.119019	-42.513195
300.791931	-41.495060
301.464844	-41.374096
302.137756	-41.905415
302.810669	-40.899933
303.483582	-39.569744
304.156494	-39.294708
304.829407	-38.504303
305.502319	-38.783409
306.175232	-39.344563
306.848145	-38.976055
307.521057	-38.087276
308.193970	-35.069157
308.866882	-34.332165
309.539795	-35.527180
310.212708	-30.241863
310.885620	-28.354210
311.558533	-32.388836
312.231445	-35.029587
312.904358	-33.865761
313.577271	-35.832775
314.250183	-38.381523
314.923096	-39.482433
315.596008	-40.344849
316.268921	-40.829403
316.941833	-40.530220
317.614746	-40.591244
318.287659	-40.232826
318.960571	-40.458946
319.633484	-41.409878
320.306396	-41.016827
320.979309	-39.892479
321.652222	-39.905716
322.325134	-39.952301
322.998047	-39.636044
323.670959	-39.349083
324.343872	-39.397644
325.016785	-38.971813
325.689697	-38.568497
326.362610	-38.430359
327.035522	-38.898933
327.708435	-38.948742
328.381348	-39.007366
329.054260	-39.752628
329.727173	-40.036350
330.400085	-40.905491
331.072998	-40.435562
331.745911	-40.705257
332.418823	-41.121059
333.091736	-40.968899
333.764648	-41.263451
334.437561	-42.047543
335.110474	-41.837746
335.783386	-42.008797
336.456299	-41.643024
337.129211	-41.423256
337.802124	-41.916401
338.475037	-42.119419
339.147949	-41.826614
339.820862	-41.646751
340.493774	-41.439552
341.166687	-40.838619
341.839600	-40.807400
342.512512	-38.971809
343.185425	-32.516945
343.858337	-31.606478
344.531250	-35.174995
345.204163	-28.050079
345.877075	-25.321743
346.549988	-30.070578
347.222900	-34.492840
347.895813	-31.264147
348.568726	-34.352970
349.241638	-40.206158
349.914551	-40.028854
350.587463	-40.534695
351.260376	-41.874817
351.933289	-42.181091
352.606201	-41.553181
353.279114	-41.386589
353.952026	-41.279137
354.624939	-41.427750
355.297852	-41.405861
355.970764	-40.493942
356.643677	-39.708126
357.316589	-39.504906
357.989502	-40.235878
358.662415	-39.953434
359.335327	-38.909981
360.008240	-38.669823
360.681152	-38.467197
361.354065	-37.482452
362.026978	-36.479378
362.699890	-36.041016
363.372803	-35.614265
364.045715	-35.033295
364.718628	-35.757233
365.391541	-34.908066
366.064453	-34.675941
366.737366	-34.698467
367.410278	-34.914040
368.083191	-35.589973
368.756104	-35.834652
369.429016	-36.438038
370.101929	-37.134315
370.774841	-38.024105
371.447754	-37.978378
372.120667	-38.477261
372.793579	-38.861813
373.466492	-39.062698
374.139404	-39.608612
374.812317	-40.339760
375.485229	-40.405724
376.158142	-41.002483
376.831055	-41.122871
377.503967	-41.094463
378.176880	-41.823387
378.849792	-41.554424
